rank,level,function,calls,time
0,0,Integrator.update_domain,505510,574.2574818134308
0,0,acceleration_eval_0,252755,510.559770822525
0,0,nnps.update,252755,34.75992703437805
0,0,Solver.dump_output,129,17.519327878952026
0,0,Integrator.initialize,252755,17.159504652023315
0,0,Solver.pre_step_callback,252755,10.211914539337158
0,0,Integrator.stage1,252755,8.736250638961792
0,0,Integrator.stage2,252755,8.380324125289917
0,0,Solver._get_timestep,252756,1.2349510192871094
0,0,Integrator.initial_acceleration,1,0.0015442371368408203
